name,nbNodes,nbEdges,approxNbNodes,approxNbEdges,density,duration
test/graph.txt,10,16,5,10,2,2.4e-05
test/test1.txt,10,9,10,9,0.9,1.5e-05
test/test2.txt,20,31,20,31,1.55,3e-05
test/test3.txt,9,14,9,14,1.55556,1.7e-05
data/ca-AstroPh_ri.txt,18772,198080,1302,38457,29.5369,0.036517
data/ca-HepPh_ri.txt,12008,118505,239,28426,118.937,0.019515
data/com-amazon.ungraph_ri.txt,334863,925872,24990,95796,3.83337,0.462538
data/com-dblp.ungraph_ri.txt,317080,1049866,114,6441,56.5,0.407908
data/as20000102_ri.txt,6474,13233,588,2557,4.34864,0.003142
data/HR_edges_ri.txt,54573,498202,6775,110992,16.3826,0.14041
data/HU_edges_ri.txt,47538,222888,77,661,8.58442,0.080987
data/RO_edges_ri.txt,41773,125827,426,2140,5.02347,0.042905
data/large_twitch_edges_ri.txt,168114,6797558,4207,577699,137.319,3.09969
data/tvshow_edges_ri.txt,3892,17263,64,1958,30.5938,0.003545
data/public_figure_edges_ri.txt,11565,67115,281,9704,34.5338,0.021452
data/politician_edges_ri.txt,5908,41730,184,4267,23.1902,0.012197
data/new_sites_edges_ri.txt,27917,206260,1401,25527,18.2206,0.069856
data/government_edges_ri.txt,7057,89456,242,8830,36.4876,0.018154
data/company_edges_ri.txt,14113,52311,97,1057,10.8969,0.019873
data/athletes_edges_ri.txt,13866,86859,42,746,17.7619,0.035002
data/artist_edges_ri.txt,50515,819307,1724,100023,58.018,0.271899
